ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
TIC\_261136679\_TESS\_sector\_99,0.250917217600368,36570400.8539598,0.188305393506338,0.019909526251075,0.148195751267034,0.999999988820557,69.3147174970224,Vetoed,3,3.8e-05,TIC_261136679_TESS_sector_99.fits
TIC\_261136679\_TESS\_sector\_98,0.272110775734303,82517069.3399069,0.189918517087329,0.0205361867336627,0.160713008024635,0.999999991513886,69.3147176316888,Vetoed,3,4.8e-05,TIC_261136679_TESS_sector_98.fits
TIC\_261136679\_TESS\_sector\_88,0.3855521540099,151003106.667143,0.237655018296384,0.0448198011104369,0.227713313302572,0.999999996624583,69.3147178872237,Vetoed,3,4e-05,TIC_261136679_TESS_sector_88.fits
TIC\_261136679\_TESS\_sector\_94,0.394182529418308,197429080.12557,0.243958016404965,0.043094621218116,0.232810551933196,0.999999998350699,69.3147179735295,Vetoed,3,4e-05,TIC_261136679_TESS_sector_94.fits
TIC\_261136679\_TESS\_sector\_97,0.267682324643823,187476620.745235,0.188452651038374,0.0198731959282704,0.15809749313589,0.999999998572985,69.3147179846438,Vetoed,3,5.3e-05,TIC_261136679_TESS_sector_97.fits
TIC\_261136679\_TESS\_sector\_96,0.293633374454629,39772291.9944482,0.20075753149987,0.0230434135681119,0.173424601167903,0.999999999394102,69.3147180256996,Vetoed,3,6.4e-05,TIC_261136679_TESS_sector_96.fits
TESS\_S4,68.817327532629,135.858465267345,5.33234850194461,344.47807362713,37.927866484212,1.25788049556597,81.4426539422545,Vetoed,3,0.000173,TESS_S4.fits
KIC\_8462852\_Kepler\_quarter\_4,102.984902728945,122.00191698498,10.7484102105339,1093.91063532096,55.3857426983948,1.36177105735557,85.9411785624211,Vetoed,3,6.3e-05,KIC_8462852_Kepler_quarter_4.fits
Kepler\_Q3,102.984902728945,122.00191698498,10.7484102105339,1093.91063532096,55.3857426983948,1.36177105735557,85.9411785624211,Vetoed,3,5.5e-05,Kepler_Q3.fits
TIC\_261136679\_TESS\_sector\_84,152.120260915388,123.559120392428,9.55960458646952,1451.08099185928,80.8876608051504,1.41243394535078,88.0636173690679,Vetoed,3,0.00012,TIC_261136679_TESS_sector_84.fits
TIC\_261136679\_TESS\_sector\_2,69.3087116833401,138.468488510089,5.59401470573514,362.089800720716,36.069535676851,1.51313371286073,92.1530465606232,Vetoed,3,0.000158,TIC_261136679_TESS_sector_2.fits
TIC\_261136679\_TESS\_sector\_35,37.2320639452627,39.6093441265502,9.15779148589083,141.47844480901,19.190547883575,1.56030173387452,94.0125116340698,Vetoed,3,0.000552,TIC_261136679_TESS_sector_35.fits
TIC\_261136679\_TESS\_sector\_80,22.3425149742519,21.0756031938549,2.2129955991644,45.1909148668201,11.0475702832031,1.77983548480477,102.239174782367,Vetoed,3,0.000156,TIC_261136679_TESS_sector_80.fits
KIC\_5812701,412.878735306336,422.779508598397,25.0235289539372,8347.8469375192,191.0605109348,2.19307418566234,116.098414730626,Vetoed,3,0.002469,KIC_5812701.fits
TIC\_261136679\_TESS\_sector\_73,11.8715799512592,8.17873594826122,1.97819744287449,23.7759816474554,5.35199697269308,2.38095746696341,121.815894362988,Vetoed,3,7.3e-05,TIC_261136679_TESS_sector_73.fits
TIC\_261136679\_TESS\_sector\_34,73.1917469491261,78.4560359413338,12.4154901180352,407.280084183991,32.1345106368206,2.58826217578125,127.76680117002,Vetoed,3,0.000716,TIC_261136679_TESS_sector_34.fits
TIC\_261136679\_TESS\_sector\_67,46.4077810340181,40.386699296075,16.4449773440415,811.09516869345,19.219741535463,3.11479590957114,141.458923619704,Vetoed,3,4.3e-05,TIC_261136679_TESS_sector_67.fits
KIC\_8462852\_Kepler\_quarter\_18,56.6623786374294,163.474518879453,11.719458019534,669.461584185232,21.7058444635186,4.00514530959328,161.046644523151,Vetoed,3,6.3e-05,KIC_8462852_Kepler_quarter_18.fits
Kepler\_Q17,56.6623786374294,163.474518879453,11.719458019534,669.461584185232,21.7058444635186,4.00514530959328,161.046644523151,Vetoed,3,5.6e-05,Kepler_Q17.fits
TIC\_261136679\_TESS\_sector\_83,293.712338607378,432.217273265257,19.9796957159464,5641.76212599099,110.269780061319,4.27817090181067,166.357961758925,Vetoed,3,0.000122,TIC_261136679_TESS_sector_83.fits
KIC\_8462852\_Kepler\_quarter\_16,147.229107819972,229.968097469283,17.503174399052,2572.51654548192,48.1350199749185,6.83553611664485,205.866929933109,Vetoed,3,6.1e-05,KIC_8462852_Kepler_quarter_16.fits
Kepler\_Q16,147.229107819972,229.968097469283,17.503174399052,2572.51654548192,48.1350199749185,6.83553611664485,205.866929933109,Vetoed,3,5.1e-05,Kepler_Q16.fits
KIC\_8462852\_Kepler\_quarter\_10,117.174465120178,174.717152440085,17.7456394315979,2093.78318426874,36.9734817186163,7.75083213762077,216.914879729004,Vetoed,3,0.001155,KIC_8462852_Kepler_quarter_10.fits
Kepler\_Q8,117.174465120178,174.717152440085,17.7456394315979,2093.78318426874,36.9734817186163,7.75083213762077,216.914879729004,Vetoed,3,4.7e-05,Kepler_Q8.fits
TIC\_261136679\_TESS\_sector\_68,17.9962623329267,14.4990182987488,3.00658543146182,54.7326625352019,5.67677298890832,7.75966028672733,217.015712414238,Vetoed,3,6.9e-05,TIC_261136679_TESS_sector_68.fits
TIC\_261136679\_TESS\_sector\_70,24.1518198303754,19.764790641331,4.06077668200618,96.9300075256066,7.14752998811423,9.79458059201623,237.904421115237,Vetoed,3,7.8e-05,TIC_261136679_TESS_sector_70.fits
TIC14444029\_lc,163.673527613501,229.561783266676,80.346552958524,8077.19412148342,41.7491423610114,17.5487898296173,292.040454862977,Vetoed,3,4.2e-05,TIC14444029_lc.fits
TIC\_261136679\_TESS\_sector\_72,35.269784116178,43.6840568473263,5.6213045956816,197.387305542158,8.63294521052142,20.8781155642063,308.548684789437,Vetoed,3,7.7e-05,TIC_261136679_TESS_sector_72.fits
KIC\_12644769,1409.07853957393,1650.73673306938,86.9335684260065,117200.417287876,325.732321157692,26.8234388842671,332.587879079943,Vetoed,3,0.001054,KIC_12644769.fits
TIC\_261136679\_TESS\_sector\_64,120.014175975206,100.738648150399,30.5094483238498,3658.76948388266,22.338719649098,78.2393761935913,437.247334943176,Vetoed,3,3.2e-05,TIC_261136679_TESS_sector_64.fits
