target_id,host_name,mission,sector_or_quarter,label,label_name,depth_catalog_ppm,depth_measured_ppm,n_in,n_out,t_snr,r_snr,p_snr,b_snr,psi_raw,penalty_raw,tier_raw,l_snras_raw,psi_corr,penalty_corr,tier_corr,l_snras_corr,literature_ref
TIC 261136679,Pi Mensae,TESS,1,1,Confirmed Planet,300,280.7383000218433,438,17388,45.99980612404722,47.91821464972564,7.974577872178986,46.575565497913345,0.01666457565411581,0.016527245215438816,Tier 1 (Clean),45.25191660189905,0.08426989292088097,0.08090685073669919,Tier 2 (Review),42.55667922975578,"Kunovac Hodzic et al. (2021, MNRAS 502, 2893)"
TIC 350618622,TOI-201,TESS,6,1,Confirmed Planet,5300,3055.476906835164,209,14089,79.61195848556271,81.62671903462646,13.872550636461439,80.20027725677764,4.155054864555017,1.6399777603909518,Tier 3 (Veto),30.156298920401905,0.6456339081453603,0.49812566448302065,Tier 3 (Veto),53.14104175168479,"Hobson et al. (2021, AJ 161, 235)"
KIC 11904151,Kepler-10,Kepler,1,1,Confirmed Planet,190,142.3341886302998,142,1335,19.130427191744225,25.80417267520286,3.24746334789075,20.12214540543747,0.49924006469817095,0.40495835619654774,Tier 3 (Veto),13.61636599929796,0.45532570069300027,0.3752297248464852,Tier 3 (Veto),13.910713858282643,"Batalha et al. (2011, ApJ 729, 27)"
KIC 5812701,Kepler-448,Kepler,4,1,Confirmed Planet,9065,7581.4251246095755,907,43605,549.5510487372934,558.555754137293,24.227964498286294,555.2370648387554,4.510967626208541,1.7067402204887325,Tier 3 (Veto),203.03058438244426,0.20810756562201183,0.18905513993748965,Tier 3 (Veto),462.1745706142645,"Bourrier et al. (2015, A&A 579, A55)"
KIC 11446443,TrES-2,Kepler,2,1,Confirmed Planet,14231,9664.61484362935,1269,39293,1294.1891702975395,1401.6856784067425,140.33689189300733,1314.9215638868868,16.84297993576569,2.881610149960944,Tier 3 (Veto),333.41554671855994,0.824134719592919,0.6011057483506089,Tier 3 (Veto),808.3096145465457,"O'Donovan et al. (2006, ApJ 651, L61)"
TIC 25155310,WASP-126,TESS,1,1,Confirmed Planet,9200,0.0,693,16919,0.0,0.0,0.0,0.0,0.28124886007821015,0.24783527420912999,Tier 3 (Veto),0.0,0.282939285717276,0.24915376239161802,Tier 3 (Veto),0.0,"Armstrong et al. (2014, MNRAS 444, 1873)"
TIC 410153553,TOI-540,TESS,1,1,Confirmed Planet,1500,188.01254405564904,568,17127,1.3292036936064722,1.3596712894328258,0.2998373122115303,1.3510647839063192,0.04582792969127824,0.04480884894738782,Tier 1 (Clean),1.2721979670689074,0.04213587529424832,0.04127233338496334,Tier 1 (Clean),1.2765187847500978,"Ment et al. (2021, AJ 161, 23)"
TIC 307210830,L 98-59,TESS,2,1,Confirmed Planet,500,407.3221683283945,348,16886,9.40167902121009,9.624038709751176,1.8410550327298525,9.498063568054768,0.027685420169363827,0.027309108693496738,Tier 1 (Clean),9.151752809012747,0.011158776673921206,0.011096976840863422,Tier 1 (Clean),9.298493850298415,"Kostov et al. (2019, AJ 158, 32)"
KIC 6922244,Kepler-8,Kepler,2,1,Confirmed Planet,9146,7207.151650111876,1748,38309,273.1471647220738,291.59320416235295,15.292494672169125,279.309366210274,1.5872935504585706,0.9506123681459263,Tier 3 (Veto),140.03149430540242,0.003708985964092277,0.003702124636130562,Tier 1 (Clean),272.1396697462378,"Jenkins et al. (2010, ApJ 724, 1108)"
KIC 11804465,Kepler-11,Kepler,3,1,Confirmed Planet,1639,13112.458240670976,1722,39649,549.6178355715576,727.4137987756224,274.78666044742295,561.4262409932326,3.7221155763834184,1.5522569145144454,Tier 3 (Veto),215.34581117047136,0.031046043633446253,0.030573863235929612,Tier 1 (Clean),533.3124147412358,"Lissauer et al. (2011, Nature 470, 53)"
