Metric,AUC,95% CI Lower,95% CI Upper,Delta AUC vs Penalty,DeLong z,DeLong p-value
Penalty (Shape-Corrected),0.7571428571428571,0.4857142857142857,0.9714285714285714,0.0,0.0,1.0
Penalty (Uncorrected),0.6,0.2857142857142857,0.8714285714285714,0.15714285714285714,1.6667516985111481,0.09556378829517076
Traditional SNR,0.6285714285714286,0.32142857142857145,0.9142857142857143,0.12857142857142867,0.5157849561342053,0.6060046107835042
Robust SNR (MAD),0.6142857142857143,0.3142857142857143,0.8857142857142857,0.1428571428571429,0.5830741344098308,0.5598433951672197
Pont SNR (2006),0.6,0.2714285714285714,0.8857142857142857,0.15714285714285714,0.5973156431548897,0.5502966622945262
BLS SNR Proxy,0.6142857142857143,0.3142857142857143,0.8857142857142857,0.1428571428571429,0.5830741344098308,0.5598433951672197
Log-SNRAS Composite,0.7,0.4142857142857143,0.9428571428571428,0.05714285714285727,0.24529416207480145,0.8062286716902043
Inverse Depth (ppm),0.4714285714285714,0.14285714285714285,0.8571428571428571,0.2857142857142857,1.8138149315446837,0.06970622292123663
