Filename,Source,Depth_ppm,T_SNR,R_SNR,L_SNRAS,Psi,Penalty_Val,Runtime_Sec
KIC_12557548.fits,Kepler,6125.67826252619,8.68076078162285,6.88182281516063,5.50337202064546,0.78131717278571,1.57735307536137,0.0047002
KIC_12644769.fits,Kepler,100821.702035951,1409.07853957393,1650.73673306938,325.732321157692,26.8234388842671,4.32587879079943,0.0030924
KIC_5812701.fits,Kepler,8379.06703246605,412.878735306336,422.779508598397,191.0605109348,2.19307418566234,2.16098414730626,0.0016275
KIC_8462852_Kepler_quarter_1.fits,Kepler,275.682833603352,5.24675698012382,5.10885542469199,3.1450666828302,0.950820077487658,1.66824983672599,0.0001735
KIC_8462852_Kepler_quarter_10.fits,Kepler,75521.5591128996,117.174465120178,174.717152440085,36.9734817186163,7.75083213762077,3.16914879729004,0.0007068
KIC_8462852_Kepler_quarter_11.fits,Kepler,495.478359451851,11.9095700800361,12.2078616742836,7.54865099591224,0.781950229977667,1.57770839935313,0.0001454
KIC_8462852_Kepler_quarter_12.fits,Kepler,569.908708375366,9.20145650479614,9.26615301022722,6.05405809677971,0.68182989791582,1.51988242558997,9.23e-05
KIC_8462852_Kepler_quarter_13.fits,Kepler,1063.20406079785,47.6417156208542,49.1374642428007,32.8122440142785,0.571372320744018,1.4519493272122,0.0001164
KIC_8462852_Kepler_quarter_14.fits,Kepler,2671.35652266448,33.0437061696897,30.2300484287862,23.8545774411691,0.469929563295594,1.38521448351718,0.0001075
KIC_8462852_Kepler_quarter_15.fits,Kepler,1032.44798408297,7.98034131864997,7.77363236954823,4.78588554926226,0.949307797579968,1.66747433395689,0.0001186
KIC_8462852_Kepler_quarter_16.fits,Kepler,116240.934623964,147.229107819972,229.968097469283,48.1350199749185,6.83553611664485,3.05866929933109,0.0001312
KIC_8462852_Kepler_quarter_17.fits,Kepler,1550.68984050322,23.6145438105895,25.9791448476668,14.9213818083635,0.790683967713652,1.58259765173715,0.0001126
KIC_8462852_Kepler_quarter_18.fits,Kepler,49178.384846707,56.6623786374294,163.474518879453,21.7058444635186,4.00514530959328,2.61046644523151,4.14e-05
KIC_8462852_Kepler_quarter_2.fits,Kepler,4753.20928979617,51.3738456389379,63.5964569295336,44.4476553159393,0.168625210940898,1.15582802453282,4.18e-05
KIC_8462852_Kepler_quarter_3.fits,Kepler,1012.72330997204,41.7281810818878,46.9782378615541,28.1623863019433,0.618822530367405,1.48169905186651,0.0001212
KIC_8462852_Kepler_quarter_4.fits,Kepler,6010.66542673301,102.984902728945,122.00191698498,55.3857426983948,1.36177105735557,1.85941178562421,7.23e-05
KIC_8462852_Kepler_quarter_5.fits,Kepler,1610.77494812101,25.6385797916066,25.4686001489116,18.0819366288467,0.518785743779923,1.4179111628289,9.35e-05
KIC_8462852_Kepler_quarter_6.fits,Kepler,751.177445301399,24.6337966609904,24.5498714173544,16.4514699502277,0.644376747481043,1.49736143551412,0.0001392
KIC_8462852_Kepler_quarter_7.fits,Kepler,383.130574593715,16.6900387766954,16.8605029403842,10.7404164759728,0.740107818377619,1.55394707589155,9.49e-05
KIC_8462852_Kepler_quarter_8.fits,Kepler,956.29275353748,13.8488924648943,14.1707730262541,11.9647581585794,0.170549929993302,1.15747366401752,0.0001107
KIC_8462852_Kepler_quarter_9.fits,Kepler,429.296190318396,18.1191349215623,17.8342988649125,12.1125363307346,0.641974243791651,1.49589932503124,8e-05
Kepler_1625.fits,TESS,2472.71830267837,8.3058806602367,8.50035711657066,5.2758426305485,0.775927905100274,1.57432304977095,8.77e-05
Kepler_Q1.fits,TESS,4753.20928979617,51.3738456389379,63.5964569295336,44.4476553159393,0.168625210940898,1.15582802453282,3.99e-05
Kepler_Q10.fits,TESS,429.296190318396,18.1191349215623,17.8342988649125,12.1125363307346,0.641974243791651,1.49589932503124,7.35e-05
Kepler_Q11.fits,TESS,569.908708375366,9.20145650479614,9.26615301022722,6.05405809677971,0.68182989791582,1.51988242558997,7.85e-05
Kepler_Q12.fits,TESS,1063.20406079785,47.6417156208542,49.1374642428007,32.8122440142785,0.571372320744018,1.4519493272122,6.99e-05
Kepler_Q13.fits,TESS,2671.35652266448,33.0437061696897,30.2300484287862,23.8545774411691,0.469929563295594,1.38521448351718,0.000102
Kepler_Q14.fits,TESS,1032.44798408297,7.98034131864997,7.77363236954823,4.78588554926226,0.949307797579968,1.66747433395689,7.42e-05
Kepler_Q15.fits,TESS,1550.68984050322,23.6145438105895,25.9791448476668,14.9213818083635,0.790683967713652,1.58259765173715,0.0001038
Kepler_Q16.fits,TESS,116240.934623964,147.229107819972,229.968097469283,48.1350199749185,6.83553611664485,3.05866929933109,6.53e-05
Kepler_Q17.fits,TESS,49178.384846707,56.6623786374294,163.474518879453,21.7058444635186,4.00514530959328,2.61046644523151,3.73e-05
Kepler_Q2.fits,TESS,1012.72330997204,41.7281810818878,46.9782378615541,28.1623863019433,0.618822530367405,1.48169905186651,9.58e-05
Kepler_Q3.fits,TESS,6010.66542673301,102.984902728945,122.00191698498,55.3857426983948,1.36177105735557,1.85941178562421,7.69e-05
Kepler_Q4.fits,TESS,1610.77494812101,25.6385797916066,25.4686001489116,18.0819366288467,0.518785743779923,1.4179111628289,9.77e-05
Kepler_Q5.fits,TESS,751.177445301399,24.6337966609904,24.5498714173544,16.4514699502277,0.644376747481043,1.49736143551412,9.99e-05
Kepler_Q6.fits,TESS,383.130574593715,16.6900387766954,16.8605029403842,10.7404164759728,0.740107818377619,1.55394707589155,0.0001171
Kepler_Q7.fits,TESS,956.29275353748,13.8488924648943,14.1707730262541,11.9647581585794,0.170549929993302,1.15747366401752,7.65e-05
Kepler_Q8.fits,TESS,75521.5591128996,117.174465120178,174.717152440085,36.9734817186163,7.75083213762077,3.16914879729004,6.56e-05
Kepler_Q9.fits,TESS,495.478359451851,11.9095700800361,12.2078616742836,7.54865099591224,0.781950229977667,1.57770839935313,9.74e-05
TESS_S1.fits,TESS,477.388429199199,38.60681451382,40.1714663988173,29.8756301966431,0.339439242676672,1.29225105076304,0.0001793
TESS_S11.fits,TESS,615.706336629884,23.2631700293076,24.6006010632975,15.1991612296572,0.699877470013934,1.53055617200215,0.0001617
TESS_S12.fits,TESS,545.973988249848,28.5784711662964,29.7650535952221,19.5497910363704,0.58697550546584,1.46183000693609,0.0001641
TESS_S13.fits,TESS,535.610172307521,26.6415371801279,27.6810107516387,18.5615367379876,0.545440230416071,1.43530880854299,0.0001976
TESS_S4.fits,TESS,1866.79674508694,68.817327532629,135.858465267345,37.927866484212,1.25788049556597,1.81442653942254,0.0001578
TESS_S8.fits,TESS,1469.44265537685,40.5785938030732,47.5767091761704,24.1898647204232,0.968956993520898,1.6775039576312,0.0001587
